ID,force,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30,song31,song32,song33,song34,song35,song36,song37,song38,song39,song40,song41,song42,song43,song44,song45,song46,song47,song48,song49,song50,song51,song52,song53,song54,song55,song56,song57,song58,song59,song60,song61,song62,song63,song64,song65,song66,song67,song68,song69,song70,song71,song72,song73,song74,song75,song76,song77,song78,song79,song80,song81,song82,song83,song84,song85,song86,song87,song88,song89,song90,song91,song92,song93,song94,song95,song96,song97,song98,song99,song100
SV-7399-5082,19.157,9664179,9012109,9794853,9541467,9285396,9525810,9608410,9476372,9647196,9503017,9435454,9761803,9617933,9666172,9461018,9734001,9711832,9685534,9489371,9734897,9424209,9686120,9734558,9728594,9389051,9314167,9266218,9377450,9472687,9357326,9622239,9783962,9477007,9473140,9623893,9601139,9378365,9523364,9399302,9517942,9277750,9845869,9447603,9702820,9576142,9502762,9501710,9511691,9777966,9823555,9814402,9814965,9610933,9614708,9134561,9620774,9701340,9399337,9625733,9716734,9693564,9417654,9468311,9576038,9491102,9460043,0,9570844,0,0,9402985,9601824,9508519,9477124,9776951,9516890,9594155,9243344,9451038,9487021,9101508,9349959,9444444,9252767,9428631,0,9280341,0,0,9524444,9454292,9578693,9504195,9535663,0,9232538,0,0,0,0
SV-3671-2767,19.175,9581696,0,0,0,0,0,0,0,0,9670353,0,0,0,0,9258231,9351894,0,0,0,0,9486268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9527118,9724305,0,0,0,0,0,0,0,0,0,0,9505691,0,9077014,9553724,0,0,0,0,0,0,0,0,0,9119635,0,0,0,9308234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SV-2294-3172,19.177,9510997,9126702,9765299,9344788,9067258,9585384,9565972,9702000,9770396,9398296,0,9823479,9442495,9782393,9594272,9751349,9851145,9757676,9689639,9802259,9379727,9727104,9647779,9793214,9498375,9569710,9438034,9391742,9491617,9398029,9293439,9739198,9676165,9475206,0,9713279,9454756,9407476,9175283,9415665,0,9685573,9519525,9444257,9348462,9510128,9281437,9569593,9742372,9717688,9821826,9755998,9760574,0,9177371,9670239,9642421,9213108,9446360,9399925,9772357,9407437,9436284,9826639,9559787,9546436,0,9457311,0,9271070,9415778,9653670,9705111,9557566,9763433,9682164,9612418,9381130,9681008,9419035,9471879,9528890,9677023,9673233,9534979,9370848,9259629,9420967,0,9228621,9388865,0,9435807,0,9696327,9703461,9557777,9582898,9509479,9502288
SV-3963-8445,19.099,9532600,9203670,9787899,9575151,9517766,9604316,9591049,9576415,9707980,9613063,9538567,9766056,9768031,9765084,9431185,9714726,9820610,9731779,9717024,9769665,9586485,9722479,9698825,9751211,9772542,9421270,9737625,9651749,9413196,9359468,9576423,9678863,9671308,9599173,9554351,9694835,9723897,9702803,9544559,9629092,9622774,9603370,9479326,9712894,9350902,9515653,9371257,9520342,9686440,9675782,9775426,9668564,9567039,9606321,9244071,9762984,9711499,9548665,9494653,9606783,9778861,9638332,9553394,9754548,9589447,9722822,9124197,9498183,9253409,9476082,9289978,9632932,9564220,9632981,9751605,9671267,9508928,9581971,9597551,9561186,9401005,9648719,9671572,9709193,9483539,9407749,9147073,9349857,0,9453752,9529091,9341417,9541123,0,0,9692111,9682222,9706291,9620824,9504195
SV-1822-5179,19.176,9587588,9372409,9725312,9269259,9096869,9528587,9614197,9757343,9605439,9332623,0,9787324,9411306,9772502,9367541,9814957,9795801,9789123,9669100,9558887,9778113,9660037,9683511,9754442,9461819,9321683,9438034,9569807,9497025,9258783,9616077,9634098,9436528,9588842,0,9686452,9334106,9379439,9098966,9365934,9186972,9611590,9511868,9474479,9346022,9360957,9454662,9364025,9710169,9801499,9825538,9729564,9652833,0,0,9686727,9581470,9246467,9563642,9118524,9764227,9391091,9531560,9766563,9414611,9591432,0,9318801,0,9248291,0,9549979,9593709,9517345,9702602,9433345,9563717,9404483,9755192,9480840,9405578,9481286,0,9676360,9514403,0,0,9416073,9302908,0,9510357,9601305,9375555,9393465,9551609,9553775,9380296,9531807,9088247,0
SV-6218-3492,19.175,9579732,9484902,9721835,9654456,9312605,9642180,9656635,9731800,9674543,9625488,9486914,9814972,9614035,9715628,9474940,9747494,9769083,9726230,9778639,9621903,9662128,9736355,9709035,9836833,9677091,9671176,9631559,9665931,9559221,9340188,9598053,9752822,9494818,9762396,9578440,9771965,9559164,9571962,9532250,9562784,9498303,9757501,9628637,9575218,9612005,9642725,9523096,9661670,9800000,9781649,9819970,9843432,9754588,9625727,9461462,9711459,9683055,9468210,9684373,9664554,9777235,9683285,9620881,9759697,9684670,9758819,9404710,9648047,9488513,9457858,9539445,9645375,9580602,9582704,9802298,9614965,9703733,9633348,9710682,9697156,9556470,9691398,9734260,9626328,9629629,9597785,9502251,9516456,9130754,9525305,9506069,9296243,9485957,0,9571563,9699205,9706666,9586374,9727655,9559496
SV-6485-1311,19.184,9444226,9775014,9735744,9282477,9502961,9564558,9695216,9708386,9690147,9485268,0,9746916,9430799,9804648,9643993,9315728,9782442,9715131,9698767,9817470,9664649,9798797,9732006,9801292,9486190,9475760,9464086,9525685,9586262,9355184,9614275,9760607,9477007,9444214,0,9706572,9535962,9560747,9180206,9546208,9292408,0,9665007,9593687,9507076,9163904,9473909,9445396,9822033,9805910,9669636,9711264,9335594,9359027,9611946,9470172,0,9327245,9757723,9552513,9618896,9691040,9644083,9751619,0,9391462,9102656,9414578,9396515,9410222,9487179,9716120,9591354,9462256,9388136,9248887,9532344,9499687,9487084,9412206,9672897,0,9524905,9232049,9526078,0,9366760,9653802,9471111,9668057,9437255,9540427,9327330,9113341,0,9416601,0,0,9379878,0
SV-4786-3284,19.175,9622937,9375398,9807023,9601275,9627749,9681938,9693287,9742443,9721355,9618388,0,9825606,9501647,9715628,9576372,9745566,9812977,9705882,9687357,9734897,9576399,9754856,9703930,9714054,9547116,9616685,9672497,9557201,9418604,9479434,9589041,9739198,9515867,9603305,0,9686452,9665893,9760747,9566715,9496477,0,9675297,9509954,9697783,9326500,9530386,9612917,9468950,9727118,9808116,9738307,9662464,9375498,9451581,9672300,9500203,9503532,9641255,9539694,9808130,9380874,9712187,9646412,9550421,9717422,0,9473206,9492103,9400911,9441364,9605972,9292267,9570135,9724569,9689429,9466314,9474544,9551186,9565306,9428440,9046061,9702939,9438271,9431734,9264632,9616009,9226248,9504363,9464210,9127436,0,9458568,9626844,9591111,9449078,9550105,9479405,9602754,9405469,9443747
SV-3070-5227,19.172,9509033,9218472,9746175,9478851,9435279,9591063,9645061,9719029,9683459,9730209,9500688,9710761,9738791,9735410,9331742,9791827,9759541,9803921,9662254,9743589,9664649,9727104,9770290,9710823,9805036,9641112,9603647,9610778,9561925,9404455,9551189,9764499,9583873,9530991,9489611,9651240,9575406,9693457,9593796,9560712,9409559,9648581,9643950,9644056,9511957,9650092,9422583,9618843,9815254,9746360,9760579,9735664,9760574,9736623,9199604,9779472,9733848,9613422,9620558,9696235,9726829,9675112,9593092,9596635,9548860,9784017,9047109,9541326,9642369,9326226,9595603,9646133,9663147,9770192,9507809,9594155,9607659,9595697,9672435,9510745,9566644,9708367,9715447,9543209,9496309,9234617,9307192,9449560,9289110,9320461,0,9354990,9710556,9600000,9640250,9607282,9534706,9563912,9589774,9579673
SV-1410-3733,19.162,9622937,9221432,9619262,9473187,9549492,9511548,9567901,9714772,9687917,9497692,0,9836239,9727095,9831849,9343675,9714726,9784351,9752127,9386125,9669708,9594049,9720166,9709035,9785137,9486190,9400601,9056568,9566656,9340183,9346615,9545782,9671078,9611398,9398760,9537789,9627766,9668213,9528971,9266371,9446746,9297094,9554048,9425727,9598723,9521717,9432780,9356287,9481798,9718644,9737538,9613956,9697031,9692737,9671472,9268774,9787716,9664770,9346546,9506726,9530376,9808130,9425827,9495831,9855818,9503590,9620230,9265524,9498183,9344938,9412300,9302771,0,9302096,0,9712740,9611333,9620535,9269033,9616097,9538524,9382716,9523965,9721995,9615384,9399176,9352398,9089128,9464210,9410366,9292878,0,9538606,0,0,9633298,9589226,9458428,9519774,9521403,9625679
